Note,Description,Date,nombre_good,nombre_follow,key
"4,0","petite pépite coréenne, une série prenante et attachante sur les personnages un scénario bien ficelé. le seul bémol la tenue des geôliers qui ressemble trop à celle de casa de papel",Publiée le 25 septembre 2021,"5



7",Suivre son activité,10
"4,5","Une série qui devient légendaire en seulement 9 épisodes !! tout est là, scénario, rythme, réalisation, suspense, jeu d'acteur, décor, lumière, aucune erreur on peut dire !! j'ai pas eu un coup de coeur pour une série Netflix depuis orange is the new black !",Publiée le 8 janvier 2022,"3


1",Suivre son activité,11
"1,0","J'ai eu là l'envie de comprendre pourquoi un tel engouement pour cette série sud-coréenne: Alors je me suis lancé dans le visionnage sous mon plaid du dimanche... je l'ai terminé... À la fin de cette série beaucoup de questions m'ont envahie. Comment cette série peut être autant appréciée ? L'humanité est elle malade ? Comment peut-on prendre du plaisir à observer la déshumanisation, la mort, la trahison ?je conseil cette série a tout ceux qui veulent vivre de l'intérieur le camps d'Auschwitz ( pas d'image plus juste a donner)... Si vous tenez à votre santé mentale FUYEZ! Donner du crédit à de tels atrocités finalement les cautionner nous déshumanise pas moins que ce que vous avez pu voir dans cette série. Ma foie en l'humanité en a pris un grand coup dans la gueule en voyant l'engouement généré par ce tas d'immondices audiovisuel.",Publiée le 4 octobre 2021,"25


21",Suivre son activité,12
"4,5",Les réalisateurs devraient s'inspirer des scénarios coréens qui savent aujourd'hui comment séduire le téléspectateur. Le décalage mis en place est osé et réussi de bout en bout.,Publiée le 24 septembre 2021,"5


7",Suivre son activité,13
"5,0","Excellente série. Le premier épisode étant assez flou, on ne sait pas vraiment dans quoi on s'embarque pour par la suite se retrouver happé et incapable d'en arrêter le visionnage. Les épisodes et les jeux s'enchaînent sans qu'on ne puisse décrocher, parfois hors d'haleine, toujours en voulant connaitre la suite. Les personnages sont super ( ce sur quoi je n'aurais pas parié de prime abord), leur psychologie est développée et approfondie de façon intéressante, avec leur zone d'ombre et de lumière. Ils sont réels, ce ne sont pas des caricatures comme on peut le voir bien souvent dans d'autres programmes. La photographie est magnifique, rien a y redire , il y a un travail monstre à ce niveau. Les plans de caméra sont excellents et arrivent parfois à magnifier même les moments les plus glauques.Il y a vraiment une attention particulière qui est apportée à tous les éléments qui composent cette série, ça se sent, ça se constate et franchement après avoir regardé un nombre incalculable de série Netflix bâclées celle-ci ressort comme un chef-d'oeuvre de détail et de soin.",Publiée le 28 septembre 2021,"6


9",Suivre son activité,14
"4,5","Enfin une bonne série Horror/Drama sans histoire d'amour inutile, un vrai reflet de la société, les acteurs sont très bon, l'ambiance lourde et malsaine tiens sur toute la longueur, Vivement la saison 2 très bonne série.",Publiée le 21 octobre 2021,"9


6",Suivre son activité,0
"5,0","Excellente série. La forme ""battle royal"" est un prétexte pour nous offrir une intelligente critique de la société, servie par une très belle mise en scène, des personnages profonds joué par de très bons acteurs, un scénario prenant et surprenant, une bande originale superbe, une esthétique fascinante... Pour moi, la série n'est pas si violente ou gore, jamais gratuitement en tout cas. On est bien plus sur un drame qui prend aux tripes, avec un suspense de tous les instants et un twist final maîtrisé. On ne se sent pas du tout devant une série mais devant un film de 8h. Amateur ou pas de cinéma coréen, amateur ou pas de scènes violentes, cette série peut plaire a énormément de monde, donc foncez sans hésiter ! Mention spéciale à l'épisode 6, ""Gganbu"", qui m'a trempé les joues.",Publiée le 19 septembre 2021,"29


21",Suivre son activité,1
"4,0","Ce que j'aime avec beaucoup de films et séries sud corénnes c'est le jeu d'acteur trés réaliste qui se démarque de l'école américaine par plus de sobriété et donc plus de réalisme.Le premier épisode laisse une impression bizarre, la 1ere partie est excellente avec la présentation du personnage personnel, puis arrive le jeu, qui donne au départ une impression mitigée car on n'est dans l'absurde. Cependant, la mayonnaise commence à prendre à partir du 2e épisode. Dans l'ensemble, une série agréable et efficace car trés divertissante, avec pas mal de moments riches en émotions notamment vers le milieu du jeu (les billes notamment).A noter que le connard de service (le numéro 101) a un jeu d'acteur super convaincant.",Publiée le 20 septembre 2021,"11


13",Suivre son activité,2
"0,5","Vu les notes précédentes et ce qu'on en disait sur les réseaux sociaux, je m'attendais à un truc extra et je suis très très déçue. Je n'aurai sûrement pas mis de note ou de mauvaise note si je n'en attendais pas tant.Je n'ai quasiment ressenti aucunes emotions durant tous les épisodes. Deux ou trois frémissements durant les 2/3 derniers épisodes et encore. Aucun personnage ne m'a touché. Je trouve le scénario et les personnages stupides. Je ne vois pas de suspens. On connaît la fin du scénario dès le début car les règles l'annoncent. On devine le gagnant... Je trouve que ça reprend le style de d'autres séries ou films. C'est sanguinolant et je n'en vois même pas l'intérêt car je trouve ça mal fait et que ça n'est même pas effrayant. Les coréens réalisent les scènes sanglantes très différemment de ce qu'on peut faire en Europe ou partout ailleurs dans le monde, excepté en Asie. J'ai regardé jusqu'au bout par curiosité. Quand on s'ennuie, on se dit 'c'est pas possible, il va se passer quelque chose au bout d'un moment'. Ben non, ou à peine. Faut attendre l'épisode 5 ou 6 pour avoir un cliffhanger et un peu de suspens. Du coup, on veut voir la suite quand même, mais ça retombe, pas de grosses surprises. Et rien d'étonnant non plus à la fin du dernier épisode. La fin est même bien nulle. Bref, bon courage pour les 5 premiers épisodes, et n'en attendez pas trop. Je me demande vraiment pourquoi ça plaît à la majorité des gens. Je dois être comme les maîtres du jeu, une psychopathe, plus rien ne m'amuse mdr. Pourtant, j'arrive quand même à prendre beaucoup de plaisir avec d'autres séries et même très simple.",Publiée le 27 septembre 2021,"20


27",Suivre son activité,3
"5,0","Excellente série pleine de rebondissements, des personnages intéressants, bcp de violence. Cette série coréene se laisse bien voir, une belle surprise",Publiée le 6 octobre 2021,"2


1",Suivre son activité,4
